Date,Open,High,Low,Close*,Adj. close**,Volume
"Jan 05, 2018",43.36,43.84,43.26,43.75,41.97,"94,640,000"
"Jan 04, 2018",43.13,43.37,43.02,43.26,41.49,"89,738,400"
"Jan 03, 2018",43.13,43.64,42.99,43.06,41.30,"118,071,600"
"Jan 02, 2018",42.54,43.08,42.31,43.06,41.31,"102,223,600"
"Jan 12, 2018",44.04,44.34,43.91,44.27,42.47,"101,672,400"
"Jan 11, 2018",43.65,43.87,43.62,43.82,42.03,"74,670,800"
"Jan 10, 2018",43.29,43.58,43.25,43.57,41.80,"95,839,600"
"Jan 09, 2018",43.64,43.76,43.35,43.58,41.81,"86,336,000"
"Jan 08, 2018",43.59,43.90,43.48,43.59,41.81,"82,271,200"
"Jan 19, 2018",44.65,44.90,44.35,44.62,42.80,"129,700,400"
"Jan 18, 2018",44.84,45.03,44.56,44.81,42.99,"124,773,600"
"Jan 17, 2018",44.04,44.81,43.77,44.78,42.95,"137,547,200"
"Jan 16, 2018",44.47,44.85,44.03,44.05,42.25,"118,263,600"
"Jan 26, 2018",43.00,43.00,42.51,42.88,41.13,"156,572,000"
"Jan 25, 2018",43.63,43.74,42.63,42.78,41.03,"166,116,000"
"Jan 24, 2018",44.31,44.33,43.30,43.56,41.78,"204,420,400"
"Jan 23, 2018",44.33,44.86,44.21,44.26,42.46,"130,756,400"
"Jan 22, 2018",44.33,44.44,44.15,44.25,42.45,"108,434,400"
"Feb 02, 2018",41.50,41.70,40.03,40.13,38.49,"346,375,200"
"Feb 01, 2018",41.79,42.15,41.69,41.94,40.24,"188,923,200"
"Jan 31, 2018",41.72,42.11,41.63,41.86,40.15,"129,915,600"
"Jan 30, 2018",41.38,41.84,41.17,41.74,40.04,"184,192,800"
"Jan 29, 2018",42.54,42.54,41.77,41.99,40.28,"202,561,600"
"Feb 09, 2018",39.27,39.47,37.56,39.10,37.66,"282,690,400"
"Feb 08, 2018",40.07,40.25,38.76,38.79,37.21,"217,562,000"
"Feb 07, 2018",40.77,40.85,39.77,39.88,38.26,"206,434,400"
"Feb 06, 2018",38.71,40.93,38.50,40.76,39.10,"272,975,200"
"Feb 05, 2018",39.78,40.97,39.00,39.12,37.53,"290,954,000"
"Feb 16, 2018",43.09,43.71,42.94,43.11,41.52,"160,704,400"
"Feb 15, 2018",42.45,43.27,42.25,43.25,41.65,"204,588,800"
