date,open,high,low,close,volume
2018-01-05,43.36,43.84,43.26,41.97,94640000
2018-01-04,43.13,43.37,43.02,41.49,89738400
2018-01-03,43.13,43.64,42.99,41.3,118071600
2018-01-02,42.54,43.08,42.31,41.31,102223600
2018-01-12,44.04,44.34,43.91,42.47,101672400
2018-01-11,43.65,43.87,43.62,42.03,74670800
2018-01-10,43.29,43.58,43.25,41.8,95839600
2018-01-09,43.64,43.76,43.35,41.81,86336000
2018-01-08,43.59,43.9,43.48,41.81,82271200
2018-01-19,44.65,44.9,44.35,42.8,129700400
2018-01-18,44.84,45.03,44.56,42.99,124773600
2018-01-17,44.04,44.81,43.77,42.95,137547200
2018-01-16,44.47,44.85,44.03,42.25,118263600
2018-01-26,43.0,43.0,42.51,41.13,156572000
2018-01-25,43.63,43.74,42.63,41.03,166116000
2018-01-24,44.31,44.33,43.3,41.78,204420400
2018-01-23,44.33,44.86,44.21,42.46,130756400
2018-01-22,44.33,44.44,44.15,42.45,108434400
2018-02-02,41.5,41.7,40.03,38.49,346375200
2018-02-01,41.79,42.15,41.69,40.24,188923200
2018-01-31,41.72,42.11,41.63,40.15,129915600
2018-01-30,41.38,41.84,41.17,40.04,184192800
2018-01-29,42.54,42.54,41.77,40.28,202561600
2018-02-09,39.27,39.47,37.56,37.66,282690400
2018-02-08,40.07,40.25,38.76,37.21,217562000
2018-02-07,40.77,40.85,39.77,38.26,206434400
2018-02-06,38.71,40.93,38.5,39.1,272975200
2018-02-05,39.78,40.97,39.0,37.53,290954000
2018-02-16,43.09,43.71,42.94,41.52,160704400
2018-02-15,42.45,43.27,42.25,41.65,204588800
2018-02-14,40.76,41.88,40.72,40.3,162579600
2018-02-13,40.49,41.19,40.41,39.57,130196800
2018-02-12,39.63,40.97,39.38,39.18,243278000
2018-02-23,43.42,43.91,43.38,42.26,135249600
2018-02-22,42.95,43.49,42.93,41.54,123967600
2018-02-21,43.21,43.53,42.75,41.19,149886400
2018-02-20,43.01,43.56,42.85,41.38,135722000
2018-03-02,43.2,44.08,43.11,42.43,153816000
2018-03-01,44.63,44.94,43.17,42.14,195208000
2018-02-28,44.81,45.15,44.51,42.89,151128400
2018-02-27,44.78,45.12,44.54,42.95,155712400
2018-02-26,44.09,44.85,44.05,43.09,152648800
2018-03-09,44.49,45.0,44.35,43.34,128740800
2018-03-08,43.87,44.28,43.77,42.61,95096400
2018-03-07,43.74,43.96,43.57,42.15,126814000
2018-03-06,44.48,44.56,44.03,42.54,95154000
